time,open,high,low,close,volumeto,coin
2022-06-22,36.37,36.84,33.61,34.07,276445338.37,solana
2022-06-23,34.07,38.57,33.89,38.13,272527741.56,solana
2022-06-24,38.13,42.87,37.65,41.87,270806565.06,solana
2022-06-25,41.87,42.56,39.73,42.2,196716794.82,solana
2022-06-26,42.2,42.45,39.16,39.38,214296877.8,solana
2022-06-27,39.38,41.22,37.96,38.46,232924259.03,solana
2022-06-28,38.46,39.85,35.04,35.29,278480970.42,solana
2022-06-29,35.29,36.05,33.09,33.96,289809989.5,solana
2022-06-30,33.96,34.14,30.88,33.74,291559538.1,solana
2022-07-01,33.74,35.34,31.75,32.8,278386368.52,solana
2022-07-02,32.8,34.09,31.82,33.32,109908127.57,solana
2022-07-03,33.32,33.63,32.11,33.36,88081229.66,solana
2022-07-04,33.36,36.89,32.42,36.68,150739092.78,solana
2022-07-05,36.68,36.93,33.11,35.37,240867509.78,solana
2022-07-06,35.37,37.57,34.78,37.01,225475866.98,solana
2022-07-07,37.01,39.23,36.37,38.46,187384470.96,solana
2022-07-08,38.46,39.81,36.45,38.11,238292134.03,solana
2022-07-09,38.11,38.88,37.76,38.05,115246546.47,solana
2022-07-10,38.05,38.12,36.26,36.66,110028071.73,solana
2022-07-11,36.66,36.71,33.23,33.4,189332526.41,solana
2022-07-12,33.4,34.56,32.57,32.66,175393353.49,solana
2022-07-13,32.66,35.03,31.85,34.93,261632225.72,solana
2022-07-14,34.93,37.26,33.56,37.13,255986071.26,solana
2022-07-15,37.13,39.07,36.52,37.37,222161624.87,solana
2022-07-16,37.37,40.45,36.36,39.59,190885804.32,solana
2022-07-17,39.59,41.07,38.3,38.62,184619472.23,solana
2022-07-18,38.62,44.04,38.55,43.54,293143493.11,solana
2022-07-19,43.54,47.45,42.56,44.88,435904062.55,solana
2022-07-20,44.88,46.32,41.27,42.03,374790512.53,solana
2022-07-21,42.03,44.07,39.67,43.11,342856760.6,solana
2022-07-22,43.11,44.32,40.04,40.55,240801245.97,solana
2022-07-23,40.55,41.92,38.62,39.98,158270986.48,solana
2022-07-24,39.98,42.09,39.48,40.96,134443327.44,solana
2022-07-25,40.96,41.1,36.58,36.6,232877627.16,solana
2022-07-26,36.6,36.81,34.68,36.27,198100005.37,solana
2022-07-27,36.27,40.54,35.68,40.24,257042314.51,solana
2022-07-28,40.24,44.19,39.05,42.94,347674741.5,solana
2022-07-29,42.94,44.4,41.18,41.93,273733162.38,solana
2022-07-30,41.93,46.68,41.46,43.85,291756644.68,solana
2022-07-31,43.85,45.21,42.24,42.37,180476118.33,solana
2022-08-01,42.37,43.26,40.61,41.66,193723781.93,solana
2022-08-02,41.66,42.43,39.53,39.75,199670615.92,solana
2022-08-03,39.75,41.02,37.48,38.57,378853156.74,solana
2022-08-04,38.57,39.82,37.96,38.82,142196402.48,solana
2022-08-05,38.82,41.34,38.71,40.56,181940041.66,solana
2022-08-06,40.56,40.91,39.85,40.07,80062849.21,solana
2022-08-07,40.07,41.55,39.22,40.62,89752298.46,solana
2022-08-08,40.62,43.69,40.56,42.22,175894096.95,solana
2022-08-09,42.22,42.76,39.76,40.35,154605679.0,solana
2022-08-10,40.35,42.87,39.17,42.48,217289355.28,solana
2022-08-11,42.48,45.33,42.37,42.8,225182358.01,solana
2022-08-12,42.8,45.53,42.18,45.52,176927290.68,solana
2022-08-13,45.52,48.4,45.31,46.6,219363805.47,solana
2022-08-14,46.6,48.07,44.58,44.87,179155327.46,solana
2022-08-15,44.87,47.24,42.76,43.73,239639071.47,solana
2022-08-16,43.73,44.31,42.56,43.09,185850223.36,solana
2022-08-17,43.09,44.72,40.18,40.53,267927195.48,solana
2022-08-18,40.53,41.67,39.34,39.51,166606355.75,solana
2022-08-19,39.51,39.59,35.57,35.82,356383614.11,solana
2022-08-20,35.82,37.26,34.19,35.28,233598721.55,solana
2022-08-21,35.28,37.03,34.54,36.48,186550916.92,solana
2022-08-22,36.48,36.54,33.76,35.42,209820727.4,solana
2022-08-23,35.42,36.1,34.24,35.65,134404383.55,solana
2022-08-24,35.65,36.39,34.31,34.88,138243611.99,solana
2022-08-25,34.88,36.48,34.87,35.28,122066673.69,solana
2022-08-26,35.28,35.78,31.37,31.73,194756458.15,solana
2022-08-27,31.73,32.24,30.87,31.52,105747616.3,solana
2022-08-28,31.52,32.21,30.13,30.43,82749619.61,solana
2022-08-29,30.43,32.64,29.97,32.43,152752700.49,solana
2022-08-30,32.43,33.07,30.64,31.47,143680750.41,solana
2022-08-31,31.47,32.96,31.18,31.49,126520798.33,solana
